Problem,D_Num,MaOEACE vs NSGAIII,NSGAIII vs MaOEACE,MaOEACE vs MaOEACSS,MaOEACSS vs MaOEACE,MaOEACE vs NSGAIISDR,NSGAIISDR vs MaOEACE,MaOEACE vs SRA,SRA vs MaOEACE,
LA07,75,leftGG0.395315rightGG,leftGG0.396801rightGG,leftGG0.311480rightGG,leftGG0.323821rightGG,leftGG0.326483rightGG,leftGG0.376396rightGG,leftGG0.395566rightGG,leftGG0.257608rightGG,
LA08,75,0.516667,0.419048,0.774603,0.026190,0.411111,0.257937,0.215873,0.219048,
LA08,75,leftGG0.345789rightGG,leftGG0.408631rightGG,leftGG0.251080rightGG,leftGG0.056237rightGG,leftGG0.355513rightGG,leftGG0.349878rightGG,leftGG0.340657rightGG,leftGG0.393193rightGG,
LA09,75,0.398413,0.375397,0.696032,0.232540,0.778571,0.161111,0.521429,0.332540,
LA09,75,leftGG0.399259rightGG,leftGG0.423650rightGG,leftGG0.262194rightGG,leftGG0.302402rightGG,leftGG0.252637rightGG,leftGG0.320365rightGG,leftGG0.442741rightGG,leftGG0.396785rightGG,
LA10,75,0.715079,0.189683,0.661111,0.048413,0.541270,0.142857,0.510317,0.398413,
LA10,75,leftGG0.366654rightGG,leftGG0.380066rightGG,leftGG0.308281rightGG,leftGG0.124856rightGG,leftGG0.310759rightGG,leftGG0.275089rightGG,leftGG0.481060rightGG,leftGG0.410277rightGG,
LA11,100,0.661111,0.192857,0.763492,0.084127,0.500000,0.034921,0.532540,0.157937,
LA11,100,leftGG0.345763rightGG,leftGG0.355695rightGG,leftGG0.325102rightGG,leftGG0.247135rightGG,leftGG0.394309rightGG,leftGG0.104762rightGG,leftGG0.473583rightGG,leftGG0.252811rightGG,
LA12,100,0.699206,0.304762,0.631746,0.185714,0.447619,0.013492,0.367460,0.264286,
LA12,100,leftGG0.359979rightGG,leftGG0.324276rightGG,leftGG0.338270rightGG,leftGG0.274038rightGG,leftGG0.360849rightGG,leftGG0.035324rightGG,leftGG0.410818rightGG,leftGG0.350342rightGG,
LA13,100,0.674603,0.253968,0.692857,0.167460,0.663492,0.100794,0.349206,0.220635,
LA13,100,leftGG0.422383rightGG,leftGG0.385309rightGG,leftGG0.307196rightGG,leftGG0.335883rightGG,leftGG0.335541rightGG,leftGG0.299745rightGG,leftGG0.428219rightGG,leftGG0.315885rightGG,
LA14,100,0.628571,0.179365,0.589683,0.112698,0.479365,0.127778,0.742063,0.257937,
LA14,100,leftGG0.382220rightGG,leftGG0.225715rightGG,leftGG0.406997rightGG,leftGG0.173692rightGG,leftGG0.340590rightGG,leftGG0.189729rightGG,leftGG0.390154rightGG,leftGG0.343115rightGG,
LA15,100,0.644444,0.161905,0.631746,0.204762,0.367460,0.269841,0.309524,0.276984,
LA15,100,leftGG0.320360rightGG,leftGG0.286929rightGG,leftGG0.360814rightGG,leftGG0.380519rightGG,leftGG0.281540rightGG,leftGG0.378248rightGG,leftGG0.410755rightGG,leftGG0.335076rightGG,
LA16,100,0.558730,0.271429,0.588889,0.292857,0.694444,0.458730,0.669841,0.192857,
LA16,100,leftGG0.451003rightGG,leftGG0.418485rightGG,leftGG0.385878rightGG,leftGG0.351139rightGG,leftGG0.326233rightGG,leftGG0.413549rightGG,leftGG0.399218rightGG,leftGG0.367591rightGG,
LA17,100,0.415079,0.253968,0.663492,0.100000,0.725397,0.246825,0.559524,0.042063,
LA17,100,leftGG0.409420rightGG,leftGG0.377648rightGG,leftGG0.247594rightGG,leftGG0.289573rightGG,leftGG0.257104rightGG,leftGG0.387745rightGG,leftGG0.450151rightGG,leftGG0.110773rightGG,
LA18,100,0.436508,0.138095,0.736508,0.200000,0.873016,0.042063,0.819841,0.000000,
LA18,100,leftGG0.388727rightGG,leftGG0.307977rightGG,leftGG0.271187rightGG,leftGG0.330159rightGG,leftGG0.173590rightGG,leftGG0.100456rightGG,leftGG0.280330rightGG,leftGG0.000000rightGG,
LA19,100,0.621429,0.239683,0.949206,0.017460,0.827778,0.197619,0.861905,0.003175,
LA19,100,leftGG0.436220rightGG,leftGG0.374899rightGG,leftGG0.051581rightGG,leftGG0.037696rightGG,leftGG0.284101rightGG,leftGG0.393325rightGG,leftGG0.272887rightGG,leftGG0.005264rightGG,
LA20,100,0.388889,0.446825,0.468254,0.454762,0.569841,0.543651,0.413492,0.166667,
LA20,100,leftGG0.428454rightGG,leftGG0.457793rightGG,leftGG0.335161rightGG,leftGG0.406502rightGG,leftGG0.338114rightGG,leftGG0.434805rightGG,leftGG0.467291rightGG,leftGG0.306518rightGG,
LA21,150,0.511111,0.379365,0.724603,0.492063,0.865079,0.100794,0.813492,0.115873,
LA21,150,leftGG0.430217rightGG,leftGG0.467120rightGG,leftGG0.263823rightGG,leftGG0.440187rightGG,leftGG0.285494rightGG,leftGG0.299745rightGG,leftGG0.363683rightGG,leftGG0.285542rightGG,
LA22,150,0.551587,0.278571,0.815873,0.292857,0.588095,0.396032,0.752381,0.384921,
LA22,150,leftGG0.459129rightGG,leftGG0.426250rightGG,leftGG0.269463rightGG,leftGG0.447727rightGG,leftGG0.427371rightGG,leftGG0.483599rightGG,leftGG0.399007rightGG,leftGG0.472302rightGG,
LA23,150,0.500794,0.431746,0.800794,0.288095,0.731746,0.446825,0.707937,0.200794,
LA23,150,leftGG0.420687rightGG,leftGG0.461222rightGG,leftGG0.244657rightGG,leftGG0.438021rightGG,leftGG0.378976rightGG,leftGG0.456305rightGG,leftGG0.446605rightGG,leftGG0.399610rightGG,
LA24,150,0.888889,0.070635,0.899206,0.228571,0.898413,0.257143,0.839683,0.036508,
